"merge_col","threshability","floret_score_mean","rachis_breaks_mean"
"WGN07C01_STP_2017_1",92,1,1
"WGN07C02_STP_2017_1",100,4,0
"WGN07C03_STP_2017_1",98,1,1
"WGN07C04_STP_2017_1",99,0,1
"WGN07C05_STP_2017_1",99,0,0
"WGN07C06_STP_2017_1",96,0,1
"WGN07C07_STP_2017_1",100,0,0
"WGN07C08_STP_2017_1",99,0,0
"WGN07C09_STP_2017_1",99,0,0
"WGN07C10_STP_2017_1",NA,NA,NA
"WGN07C11_STP_2017_1",99,2,0
"WGN07C12_STP_2017_1",98,3,0
"WGN07C13_STP_2017_1",98,0,1
"WGN07C14_STP_2017_1",96,0,1
"WGN07C15_STP_2017_1",99,0,1
"WGN07C16_STP_2017_1",99,1,0
"WGN07C17_STP_2017_1",99,0,1
"WGN07C18_STP_2017_1",92,1,1
"WGN07C19_STP_2017_1",94,0,0
"WGN07C20_STP_2017_1",95,3,0
"WGN07C21_STP_2017_1",93,2,1
"WGN07C22_STP_2017_1",98,0,1
"WGN07C23_STP_2017_1",NA,NA,NA
"WGN07C24_STP_2017_1",99,1,0
"WGN07C25_STP_2017_1",97,0,1
"WGN07C26_STP_2017_1",98,2,1
"WGN07C27_STP_2017_1",99,0,1
"WGN07C28_STP_2017_1",98,0,0
"WGN07C29_STP_2017_1",91,1,1
"WGN07C30_STP_2017_1",97,1,1
"WGN07C31_STP_2017_1",95,4,0
"WGN07C32_STP_2017_1",95,0,0
"WGN07C33_STP_2017_1",96,1,1
"WGN07C34_STP_2017_1",93,0,0
"WGN07C35_STP_2017_1",96,4,0
"WGN07C36_STP_2017_1",99,0,0
"WGN07C37_STP_2017_1",99,0,0
"WGN07C38_STP_2017_1",100,1,0
"WGN07C39_STP_2017_1",98,0,1
"WGN07C40_STP_2017_1",90,2,0
"WGN07C41_STP_2017_1",100,1,1
"WGN07C42_STP_2017_1",99,1,1
"WGN07C43_STP_2017_1",90,0,0
"WGN07C44_STP_2017_1",92,1,1
"WGN07C45_STP_2017_1",95,0,0
"WGN07C46_STP_2017_1",96,3,1
"WGN07C47_STP_2017_1",100,0,2
"WGN07C48_STP_2017_1",97,1,1
"WGN07C49_STP_2017_1",99,1,1
"WGN07C50_STP_2017_1",98,1,1
"WGN07C51_STP_2017_1",97,1,1
"WGN07C52_STP_2017_1",99,1,1
"WGN07C53_STP_2017_1",99,0,1
"WGN07C54_STP_2017_1",95,0,1
"WGN07C55_STP_2017_1",95,2,0
"WGN07C56_STP_2017_1",98,2,0
"WGN07C57_STP_2017_1",100,0,0
"WGN07C58_STP_2017_1",90,0,1
"WGN07C59_STP_2017_1",96,0,0
"WGN07C60_STP_2017_1",99,0,1
"WGN07C61_STP_2017_1",95,0,1
"WGN07C62_STP_2017_1",100,1,1
"WGN07C63_STP_2017_1",98,0,0
"WGN07C64_STP_2017_1",100,0,0
"WGN07C65_STP_2017_1",97,1,1
"WGN07D01_STP_2017_1",96,1,1
"WGN07D02_STP_2017_1",94,1,0
"WGN07D03_STP_2017_1",99,0,1
"WGN07D04_STP_2017_1",98,1,1
"WGN07D05_STP_2017_1",97,0,1
"WGN07D06_STP_2017_1",98,0,1
"WGN07D07_STP_2017_1",90,5,1
"WGN07D08_STP_2017_1",97,1,1
"WGN07D09_STP_2017_1",97,4,0
"WGN07D10_STP_2017_1",97,0,0
"WGN07D11_STP_2017_1",97,0,0
"WGN07D12_STP_2017_1",95,0,0
"WGN07D13_STP_2017_1",99,0,1
"WGN07D14_STP_2017_1",97,0,1
"WGN07D15_STP_2017_1",99,0,0
"WGN07D16_STP_2017_1",99,3,1
"WGN07D17_STP_2017_1",97,3,1
"WGN07D18_STP_2017_1",99,0,0
"WGN07D19_STP_2017_1",98,1,1
"WGN07D20_STP_2017_1",97,0,1
"WGN07D21_STP_2017_1",98,0,1
"WGN07D22_STP_2017_1",99,0,1
"WGN07D23_STP_2017_1",100,1,1
"WGN07D24_STP_2017_1",99,2,0
"WGN07D25_STP_2017_1",99,1,1
"WGN07D26_STP_2017_1",90,3,0
"WGN07D28_STP_2017_1",100,0,1
"WGN07D29_STP_2017_1",85,6,1
"WGN07D30_STP_2017_1",100,0,1
"WGN07D31_STP_2017_1",NA,NA,NA
"WGN07D32_STP_2017_1",97,0,1
"WGN07D33_STP_2017_1",98,1,0
"WGN07D34_STP_2017_1",98,0,1
"WGN07D35_STP_2017_1",97,2,0
"WGN07D36_STP_2017_1",NA,NA,NA
"WGN07D37_STP_2017_1",98,3,1
"WGN07D38_STP_2017_1",99,0,1
"WGN07D39_STP_2017_1",97,0,1
"WGN07D40_STP_2017_1",100,0,0
"WGN07D41_STP_2017_1",100,0,1
"WGN07D42_STP_2017_1",100,2,0
"WGN07D43_STP_2017_1",98,1,0
"WGN07D44_STP_2017_1",100,0,1
"WGN07D45_STP_2017_1",96,1,1
"WGN07D46_STP_2017_1",98,0,1
"WGN07D47_STP_2017_1",97,1,0
"WGN07D48_STP_2017_1",97,1,0
"WGN07D49_STP_2017_1",96,1,0
"WGN07D50_STP_2017_1",98,0,0
"WGN07D51_STP_2017_1",100,0,0
"WGN07D52_STP_2017_1",100,0,1
"WGN07D53_STP_2017_1",95,1,1
"WGN07D54_STP_2017_1",94,2,1
"WGN07D55_STP_2017_1",96,1,0
"WGN07D56_STP_2017_1",97,1,1
"WGN07D57_STP_2017_1",99,0,1
"WGN07D58_STP_2017_1",96,4,1
"WGN07D59_STP_2017_1",100,1,0
"WGN07D60_STP_2017_1",95,1,0
"WGN07D61_STP_2017_1",99,0,0
"WGN07D62_STP_2017_1",99,0,1
"WGN07D63_STP_2017_1",99,0,1
"WGN07D64_STP_2017_1",99,0,1
"WGN07D65_STP_2017_1",97,2,1
"WGN15C01_STP_2017_1",50,1,1
"WGN15C02_STP_2017_1",85,3,1
"WGN15C03_STP_2017_1",97,0,0
"WGN15C04_STP_2017_1",98,0,0
"WGN15C05_STP_2017_1",65,0,1
"WGN15C06_STP_2017_1",96,5,1
"WGN15C07_STP_2017_1",60,0,1
"WGN15C08_STP_2017_1",97,1,1
"WGN15C09_STP_2017_1",75,1,1
"WGN15C10_STP_2017_1",NA,NA,NA
"WGN15C11_STP_2017_1",99,0,1
"WGN15C12_STP_2017_1",96,0,0
"WGN15C13_STP_2017_1",100,0,0
"WGN15C14_STP_2017_1",99,1,1
"WGN15C15_STP_2017_1",60,2,0
"WGN15C16_STP_2017_1",98,2,2
"WGN15C17_STP_2017_1",75,0,1
"WGN15C18_STP_2017_1",97,0,1
"WGN15C19_STP_2017_1",80,0,1
"WGN15C20_STP_2017_1",98,0,2
"WGN15C21_STP_2017_1",90,0,1
"WGN15C22_STP_2017_1",95,4,1
"WGN15C23_STP_2017_1",60,0,0
"WGN15C24_STP_2017_1",80,2,1
"WGN15C25_STP_2017_1",100,NA,0
"WGN15C26_STP_2017_1",95,0,1
"WGN15C27_STP_2017_1",95,0,0
"WGN15C28_STP_2017_1",98,0,1
"WGN15C29_STP_2017_1",60,1,0
"WGN15C30_STP_2017_1",99,0,1
"WGN15C31_STP_2017_1",98,0,1
"WGN15C32_STP_2017_1",95,1,0
"WGN15C33_STP_2017_1",95,0,1
"WGN15C34_STP_2017_1",70,3,1
"WGN15C35_STP_2017_1",98,1,1
"WGN15C36_STP_2017_1",55,2,0
"WGN15C37_STP_2017_1",97,0,0
"WGN15C38_STP_2017_1",50,0,1
"WGN15C39_STP_2017_1",98,2,1
"WGN15C40_STP_2017_1",96,1,0
"WGN15C41_STP_2017_1",92,2,0
"WGN15C42_STP_2017_1",99,0,1
"WGN15C43_STP_2017_1",97,0,1
"WGN15C44_STP_2017_1",80,1,1
"WGN15C45_STP_2017_1",85,1,1
"WGN15C46_STP_2017_1",100,0,0
"WGN15C47_STP_2017_1",90,0,1
"WGN15C48_STP_2017_1",70,2,1
"WGN15C49_STP_2017_1",85,0,1
"WGN15C50_STP_2017_1",80,0,1
"WGN15C51_STP_2017_1",60,1,1
"WGN15C52_STP_2017_1",98,0,1
"WGN15C53_STP_2017_1",NA,NA,NA
"WGN15C54_STP_2017_1",75,0,0
"WGN15C55_STP_2017_1",96,0,1
"WGN15C56_STP_2017_1",85,0,1
"WGN15C57_STP_2017_1",75,NA,0
"WGN15C58_STP_2017_1",99,0,1
"WGN15C59_STP_2017_1",96,1,1
"WGN15C60_STP_2017_1",99,0,1
"WGN15C61_STP_2017_1",65,0,1
"WGN15C62_STP_2017_1",90,0,1
"WGN15C63_STP_2017_1",99,2,1
"WGN15C64_STP_2017_1",99,0,2
"WGN15C65_STP_2017_1",85,0,1
"WGN15D01_STP_2017_1",70,0,1
"WGN15D02_STP_2017_1",100,0,1
"WGN15D03_STP_2017_1",90,0,1
"WGN15D04_STP_2017_1",97,1,2
"WGN15D05_STP_2017_1",65,1,1
"WGN15D06_STP_2017_1",80,1,1
"WGN15D07_STP_2017_1",97,1,1
"WGN15D08_STP_2017_1",99,0,2
"WGN15D09_STP_2017_1",75,1,1
"WGN15D10_STP_2017_1",96,0,1
"WGN15D11_STP_2017_1",15,0,1
"WGN15D12_STP_2017_1",80,0,0
"WGN15D13_STP_2017_1",96,0,1
"WGN15D14_STP_2017_1",55,1,1
"WGN15D15_STP_2017_1",100,0,1
"WGN15D16_STP_2017_1",90,1,1
"WGN15D17_STP_2017_1",80,0,0
"WGN15D18_STP_2017_1",75,1,0
"WGN15D19_STP_2017_1",99,NA,0
"WGN15D20_STP_2017_1",97,3,1
"WGN15D21_STP_2017_1",97,0,0
"WGN15D22_STP_2017_1",99,1,1
"WGN15D23_STP_2017_1",99,0,1
"WGN15D24_STP_2017_1",80,0,0
"WGN15D25_STP_2017_1",99,0,1
"WGN15D26_STP_2017_1",94,0,1
"WGN15D27_STP_2017_1",55,0,0
"WGN15D28_STP_2017_1",94,1,1
"WGN15D29_STP_2017_1",100,0,0
"WGN15D30_STP_2017_1",95,1,0
"WGN15D31_STP_2017_1",80,1,1
"WGN15D32_STP_2017_1",94,0,1
"WGN15D33_STP_2017_1",75,0,1
"WGN15D34_STP_2017_1",NA,NA,NA
"WGN15D35_STP_2017_1",92,0,1
"WGN15D36_STP_2017_1",45,0,0
"WGN15D37_STP_2017_1",90,0,1
"WGN15D38_STP_2017_1",96,0,1
"WGN15D39_STP_2017_1",98,0,1
"WGN15D40_STP_2017_1",99,1,0
"WGN15D41_STP_2017_1",65,0,2
"WGN15D42_STP_2017_1",98,1,1
"WGN15D43_STP_2017_1",95,0,1
"WGN15D44_STP_2017_1",92,0,1
"WGN15D45_STP_2017_1",50,4,1
"WGN15D46_STP_2017_1",80,1,1
"WGN15D47_STP_2017_1",97,0,1
"WGN15D48_STP_2017_1",90,1,0
"WGN15D49_STP_2017_1",85,0,0
"WGN15D50_STP_2017_1",80,0,0
"WGN15D51_STP_2017_1",90,2,1
"WGN15D52_STP_2017_1",100,0,1
"WGN15D53_STP_2017_1",98,0,0
"WGN15D54_STP_2017_1",80,4,2
"WGN15D55_STP_2017_1",99,0,1
"WGN15D56_STP_2017_1",96,1,1
"WGN15D57_STP_2017_1",30,0,0
"WGN15D58_STP_2017_1",95,3,1
"WGN15D59_STP_2017_1",85,1,0
"WGN15D60_STP_2017_1",90,4,1
"WGN15D61_STP_2017_1",95,0,1
"WGN15D62_STP_2017_1",80,0,1
"WGN15D63_STP_2017_1",65,0,1
"WGN15D64_STP_2017_1",60,1,1
"WGN15D65_STP_2017_1",80,0,1
"WGN26C01_STP_2017_1",NA,NA,NA
"WGN26C02_STP_2017_1",90,1,1
"WGN26C03_STP_2017_1",65,0,0
"WGN26C04_STP_2017_1",85,3,1
"WGN26C05_STP_2017_1",100,1,0
"WGN26C06_STP_2017_1",90,0,1
"WGN26C07_STP_2017_1",85,2,1
"WGN26C08_STP_2017_1",100,0,1
"WGN26C09_STP_2017_1",70,2,1
"WGN26C10_STP_2017_1",NA,NA,NA
"WGN26C11_STP_2017_1",90,0,1
"WGN26C12_STP_2017_1",85,2,0
"WGN26C13_STP_2017_1",100,0,1
"WGN26C14_STP_2017_1",100,1,1
"WGN26C15_STP_2017_1",70,0,0
"WGN26C16_STP_2017_1",85,2,1
"WGN26C17_STP_2017_1",93,3,1
"WGN26C18_STP_2017_1",55,1,1
"WGN26C19_STP_2017_1",90,1,0
"WGN26C20_STP_2017_1",97,1,1
"WGN26C21_STP_2017_1",NA,NA,NA
"WGN26C22_STP_2017_1",85,2,0
"WGN26C23_STP_2017_1",85,2,1
"WGN26C24_STP_2017_1",90,1,1
"WGN26C25_STP_2017_1",75,2,2
"WGN26C26_STP_2017_1",98,0,1
"WGN26C27_STP_2017_1",92,0,1
"WGN26C28_STP_2017_1",85,1,0
"WGN26C29_STP_2017_1",94,1,1
"WGN26C31_STP_2017_1",99,1,1
"WGN26C32_STP_2017_1",80,7,1
