famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	3.21702642434034	0.661835412880384	180	1.91107238784448	4.52298046083619	 AB 
WGN39	3.35499791018534	0.453178457961676	180	2.46077220858333	4.24922361178735	 A  
WGN63	3.59998664487467	0.520045220902389	180	2.57381738559903	4.62615590415031	 AB 
WGN45	4.11265032633919	0.380860647921737	180	3.36112435656502	4.86417629611336	 ABC
WGN07	4.11408051203124	0.416074754949508	180	3.29306898086294	4.93509204319955	 ABC
WGN55	4.55566799392671	0.383675814619591	180	3.79858705045224	5.31274893740117	 ABC
WGN36	4.59247332592328	0.381856576112954	180	3.83898215994463	5.34596449190192	 ABC
WGN38	4.9809827846878	0.410460428901937	180	4.17104961472733	5.79091595464827	 ABC
WGN26	5.31569473389093	0.391666764707694	180	4.542845801397	6.08854366638486	  BC
WGN46	5.54720946980818	0.297082907139354	180	4.96099632043311	6.13342261918326	   C
