plantID3	famID	emmean	SE	df	lower.CL	upper.CL
1	WGN07	34.5481696399921	4.8720011497819	1095	24.9886563910044	44.1076828889798
2	WGN07	52.2739194150066	4.87200114977926	1095	42.7144061660241	61.8334326639891
3	WGN07	38.83406165999	4.87200114977869	1095	29.2745484110086	48.3935749089714
4	WGN07	43.9929803149951	4.87200114977844	1095	34.4334670660142	53.5524935639759
5	WGN07	45.5388634049998	4.87200114977857	1095	35.9793501560187	55.098376653981
6	WGN07	40.3885182349995	4.87200114977865	1095	30.8290049860181	49.9480314839808
7	WGN07	47.0126326050003	4.87200114977871	1095	37.4531193560189	56.5721458539818
8	WGN07	44.424280895	4.87200114977876	1095	34.8647676460184	53.9837941439815
9	WGN07	48.3778414949997	4.87200114977875	1095	38.8183282460182	57.9373547439812
10	WGN07	45.6786408399996	4.87200114977866	1095	36.1191275910183	55.238154088981
11	WGN07	40.1689610550005	4.87200114977895	1095	30.6094478060187	49.7284743039824
12	WGN07	35.324440235	4.87200114977864	1095	25.7649269860187	44.8839534839812
13	WGN07	43.8572774599993	4.87200114977858	1095	34.2977642110181	53.4167907089805
14	WGN07	56.6074279099997	4.87200114977865	1095	47.0479146610184	66.166941158981
15	WGN07	34.5246629249997	4.8720011497786	1095	24.9651496760185	44.0841761739809
16	WGN07	51.5870700299994	4.87200114977869	1095	42.027556781018	61.1465832789807
17	WGN07	53.2207123299999	4.87200114977869	1095	43.6611990810185	62.7802255789813
18	WGN07	33.6663172099992	4.87200114977865	1095	24.1068039610179	43.2258304589806
20	WGN07	12.1574912999997	4.87200114977863	1095	2.59797805101844	21.717004548981
21	WGN07	46.7396558000002	4.87200114977868	1095	37.1801425510189	56.2991690489816
22	WGN07	56.091246654999	4.87200114977866	1095	46.5317334060177	65.6507599039804
23	WGN07	51.8916306500002	4.87200114977871	1095	42.3321174010187	61.4511438989816
24	WGN07	33.5557767799998	4.87200114977872	1095	23.9962635310183	43.1152900289812
25	WGN07	30.9391728950001	4.87200114977855	1095	21.379659646019	40.4986861439812
26	WGN07	41.8794218850001	4.87200114977862	1095	32.3199086360188	51.4389351339813
27	WGN07	43.794289015	4.87200114977881	1095	34.2347757660184	53.3538022639816
28	WGN07	51.1679213949998	4.87200114977872	1095	41.6084081460184	60.7274346439813
29	WGN07	37.8348005499997	4.8720011497787	1095	28.2752873010183	47.3943137989811
30	WGN07	43.3313595500001	4.8720011497788	1095	33.7718463010185	52.8908727989817
31	WGN07	36.9851762449989	4.87200114977874	1095	27.4256629960174	46.5446894939803
32	WGN07	45.7033460299998	4.87200114977862	1095	36.1438327810185	55.262859278981
33	WGN07	43.3018327349996	4.87200114977868	1095	33.7423194860183	52.861345983981
34	WGN07	39.3843784549999	4.87200114977862	1095	29.8248652060187	48.9438917039812
35	WGN07	46.9480963099996	4.87200114977859	1095	37.3885830610185	56.5076095589808
36	WGN07	21.3667012999993	4.87200114977868	1095	11.8071880510179	30.9262145489807
37	WGN07	30.2683664550001	4.87200114977871	1095	20.7088532060187	39.8278797039815
38	WGN07	36.1488984049998	4.87200114977862	1095	26.5893851560185	45.708411653981
39	WGN07	50.1376930699994	4.87200114977855	1095	40.5781798210183	59.6972063189805
40	WGN07	36.0317513499992	4.87200114977863	1095	26.4722381010179	45.5912645989805
41	WGN07	48.5552317599996	4.87200114977858	1095	38.9957185110184	58.1147450089807
42	WGN07	37.8320585599998	4.87200114977867	1095	28.2725453110184	47.3915718089811
44	WGN07	47.6819134699996	4.87200114977862	1095	38.1224002210184	57.2414267189809
46	WGN07	36.2827580699998	4.87200114977866	1095	26.7232448210185	45.8422713189811
47	WGN07	39.4463874049991	4.87200114977871	1095	29.8868741560177	49.0059006539805
48	WGN07	25.8185420449999	4.87200114977867	1095	16.2590287960185	35.3780552939812
49	WGN07	52.4278697249995	4.8720011497786	1095	42.8683564760183	61.9873829739807
50	WGN07	47.2295750049996	4.87200114977862	1095	37.6700617560184	56.7890882539809
51	WGN07	40.0867297196527	6.89162155822426	1095	26.5644530272913	53.6090064120142
52	WGN07	37.7174631699997	4.87200114977856	1095	28.1579499210185	47.2769764189808
53	WGN07	50.8082038099994	4.87200114977855	1095	41.2486905610183	60.3677170589805
54	WGN07	36.5116352403466	6.89162155822433	1095	22.989358547985	50.0339119327082
55	WGN07	42.567012425	4.87200114977863	1095	33.0074991760187	52.1265256739812
56	WGN07	31.5613251149999	4.87200114977865	1095	22.0018118660186	41.1208383639812
57	WGN07	49.3292886499995	4.87200114977862	1095	39.7697754010182	58.8888018989807
58	WGN07	38.0615033249998	4.87200114977862	1095	28.5019900760185	47.621016573981
59	WGN07	44.3718794699996	4.87200114977864	1095	34.8123662210184	53.9313927189809
60	WGN07	42.3498878049996	4.87200114977861	1095	32.7903745560183	51.9094010539808
61	WGN07	42.1404058549997	4.87200114977873	1095	32.5808926060182	51.6999191039812
63	WGN07	44.5770640850001	4.87200114977871	1095	35.0175508360187	54.1365773339815
64	WGN07	44.4203928799999	4.87200114977864	1095	34.8608796310186	53.9799061289812
66	WGN07	54.3586533299993	4.87200114977866	1095	44.799140081018	63.9181665789806
67	WGN07	34.3490566249994	4.87200114977866	1095	24.7895433760181	43.9085698739807
68	WGN07	47.0881255499996	4.87200114977865	1095	37.5286123010183	56.6476387989809
69	WGN07	44.0837375749996	4.87200114977857	1095	34.5242243260185	53.6432508239808
71	WGN07	40.9660378299998	4.87200114977866	1095	31.4065245810185	50.5255510789812
73	WGN07	53.2809967949998	4.87200114977858	1095	43.7214835460186	62.840510043981
74	WGN07	42.3482459899998	4.87200114977874	1095	32.7887327410183	51.9077592389813
75	WGN07	39.7515095249994	4.87200114977873	1095	30.191996276018	49.3110227739809
76	WGN07	47.6307266550005	4.87200114977876	1095	38.0712134060189	57.190239903982
77	WGN07	44.5767310500003	4.87200114977877	1095	35.0172178010188	54.1362442989819
78	WGN07	36.1885751799996	4.87200114977878	1095	26.629061931018	45.7480884289812
79	WGN07	38.9677356899997	4.87200114977865	1095	29.4082224410184	48.527248938981
80	WGN07	37.9367098450003	4.8720011497788	1095	28.3771965960187	47.4962230939819
81	WGN07	61.937472775	4.87200114977866	1095	52.3779595260187	71.4969860239813
82	WGN07	42.8902492900001	4.87200114977873	1095	33.3307360410186	52.4497625389815
83	WGN07	42.6211891349998	4.87200114977866	1095	33.0616758860184	52.1807023839811
84	WGN07	46.2228756449993	4.87200114977856	1095	36.6633623960182	55.7823888939804
85	WGN07	44.681439724999	4.87200114977859	1095	35.1219264760178	54.2409529739801
86	WGN07	37.1525486449992	4.87200114977859	1095	27.593035396018	46.7120618939804
87	WGN07	54.8096805249997	4.87200114977865	1095	45.2501672760184	64.369193773981
88	WGN07	54.8772977749999	4.87200114977868	1095	45.3177845260185	64.4368110239813
89	WGN07	38.3573962149995	4.87200114977876	1095	28.7978829660179	47.916909463981
90	WGN07	47.2106799099992	4.87200114977874	1095	37.6511666610177	56.7701931589807
91	WGN07	43.56863794	4.87200114977869	1095	34.0091246910186	53.1281511889814
92	WGN07	40.5908647499998	4.87200114977864	1095	31.0313515010185	50.1503779989811
93	WGN07	51.1695321649997	4.87200114977858	1095	41.6100189160185	60.7290454139809
94	WGN07	45.90828971	4.87200114977869	1095	36.3487764610186	55.4678029589814
95	WGN07	46.4132169749995	4.87200114977877	1095	36.8537037260179	55.972730223981
96	WGN07	22.1430263249996	4.87200114977867	1095	12.5835130760182	31.7025395739809
97	WGN07	47.5645454849997	4.87200114977861	1095	38.0050322360185	57.1240587339809
98	WGN07	48.0136079599995	4.87200114977864	1095	38.4540947110182	57.5731212089808
99	WGN07	38.6583601899999	4.87200114977863	1095	29.0988469410187	48.2178734389812
100	WGN07	50.5316067800001	4.87200114977872	1095	40.9720935310186	60.0911200289815
101	WGN07	40.408259605	4.8720011497786	1095	30.8487463560188	49.9677728539812
102	WGN07	39.0790029149996	4.87200114977861	1095	29.5194896660184	48.6385161639808
103	WGN07	39.4060288849997	4.87200114977861	1095	29.8465156360185	48.965542133981
104	WGN07	55.0011376049993	4.87200114977871	1095	45.4416243560179	64.5606508539807
105	WGN07	48.0244548549999	4.87200114977871	1095	38.4649416060184	57.5839681039813
106	WGN07	47.1445863349998	4.87200114977867	1095	37.5850730860184	56.7040995839811
107	WGN07	36.1174273349996	4.87200114977858	1095	26.5579140860184	45.6769405839807
108	WGN07	57.8414466299995	4.87200114977872	1095	48.2819333810181	67.400959878981
109	WGN07	27.1335482199996	4.87200114977863	1095	17.5740349710183	36.6930614689808
110	WGN07	46.8985451749996	4.87200114977859	1095	37.3390319260184	56.4580584239808
111	WGN07	41.52611183	4.87200114977869	1095	31.9665985810186	51.0856250789814
112	WGN07	35.574931965	4.87200114977869	1095	26.0154187160186	45.1344452139814
113	WGN07	50.5500785099991	4.87200114977857	1095	40.9905652610179	60.1095917589802
114	WGN07	32.1646083099992	4.87200114977861	1095	22.6050950610179	41.7241215589804
115	WGN07	47.5676985499997	4.87200114977872	1095	38.0081853010182	57.1272117989811
116	WGN07	57.4788423949996	4.87200114977865	1095	47.9193291460183	67.0383556439809
117	WGN07	40.6039979799997	4.87200114977857	1095	31.0444847310186	50.1635112289809
118	WGN07	40.51685261	4.87200114977872	1095	30.9573393610186	50.0763658589815
119	WGN07	50.2152788950001	4.87200114977872	1095	40.6557656460187	59.7747921439816
120	WGN07	46.2133749449996	4.87200114977859	1095	36.6538616960184	55.7728881939808
121	WGN07	51.2206016949997	4.8720011497786	1095	41.6610884460185	60.7801149439809
122	WGN07	31.3526889896529	6.89162155822446	1095	17.8304122972911	44.8749656820148
123	WGN07	48.2595063299999	4.87200114977872	1095	38.6999930810185	57.8190195789813
124	WGN07	49.5070201999996	4.87200114977874	1095	39.9475069510181	59.0665334489811
125	WGN07	46.9176552799996	4.87200114977868	1095	37.3581420310182	56.4771685289809
126	WGN07	41.2787498649995	4.87200114977864	1095	31.7192366160182	50.8382631139807
127	WGN07	52.4577097199995	4.87200114977862	1095	42.8981964710183	62.0172229689808
128	WGN07	39.5673758399999	4.87200114977871	1095	30.0078625910185	49.1268890889814
129	WGN07	43.7993169999997	4.87200114977869	1095	34.2398037510183	53.3588302489811
130	WGN07	50.1954355749995	4.87200114977861	1095	40.6359223260183	59.7549488239808
1	WGN15	33.711314824999	4.87200114977873	1095	24.1518015760175	43.2708280739804
2	WGN15	45.1551320950015	4.87200114977876	1095	35.5956188460199	54.714645343983
3	WGN15	58.9450955800002	4.87200114977865	1095	49.3855823310189	68.5046088289815
4	WGN15	50.7256258950008	4.87200114977863	1095	41.1661126460195	60.2851391439821
5	WGN15	41.873679360001	4.87200114977868	1095	32.3141661110196	51.4331926089824
7	WGN15	43.1214060850007	4.87200114977867	1095	33.5618928360193	52.680919333982
8	WGN15	43.0243777600004	4.87200114977853	1095	33.4648645110193	52.5838910089814
9	WGN15	46.9296542100007	4.87200114977867	1095	37.3701409610194	56.4891674589821
10	WGN15	51.1505925600001	4.87200114977858	1095	41.5910793110189	60.7101058089812
11	WGN15	44.3060868000005	4.87200114977859	1095	34.7465735510194	53.8656000489817
12	WGN15	43.5963313000007	4.87200114977864	1095	34.0368180510194	53.155844548982
13	WGN15	44.5344249650013	4.87200114977881	1095	34.9749117160196	54.0939382139829
14	WGN15	46.6590624600011	4.87200114977872	1095	37.0995492110196	56.2185757089825
15	WGN15	35.5389631050007	4.87200114977878	1095	25.9794498560191	45.0984763539823
16	WGN15	48.7721518600008	4.87200114977869	1095	39.2126386110194	58.3316651089822
17	WGN15	57.077842469654	6.8916215582244	1095	43.5555657772923	70.6001191620157
18	WGN15	52.3362354300013	4.87200114977871	1095	42.7767221810199	61.8957486789828
19	WGN15	30.570005650348	6.8916215582245	1095	17.047728957986	44.0922823427099
20	WGN15	46.0594826350011	4.87200114977873	1095	36.4999693860197	55.6189958839826
21	WGN15	46.4468226750008	4.87200114977863	1095	36.8873094260195	56.006335923982
22	WGN15	28.0048534850009	4.87200114977856	1095	18.4453402360198	37.564366733982
23	WGN15	44.1739949100008	4.87200114977868	1095	34.6144816610195	53.7335081589822
24	WGN15	16.108908469654	6.89162155822433	1095	2.58663177729242	29.6311851620156
25	WGN15	45.654981840001	4.87200114977872	1095	36.0954685910196	55.2144950889825
26	WGN15	52.849977975001	4.87200114977866	1095	43.2904647260197	62.4094912239823
27	WGN15	44.4178348050011	4.87200114977876	1095	34.8583215560196	53.9773480539827
28	WGN15	48.6966353800011	4.87200114977872	1095	39.1371221310197	58.2561486289826
29	WGN15	44.7464059050007	4.87200114977868	1095	35.1868926560194	54.3059191539821
30	WGN15	46.4539285650006	4.87200114977863	1095	36.8944153160194	56.0134418139819
31	WGN15	41.2108330696546	6.8916215582243	1095	27.688556377293	54.7331097620161
32	WGN15	46.352861840001	4.87200114977874	1095	36.7933485910196	55.9123750889825
33	WGN15	55.2773600400003	4.87200114977862	1095	45.717846791019	64.8368732889815
34	WGN15	39.9907169150001	4.87200114977865	1095	30.4312036660188	49.5502301639814
35	WGN15	62.5305574150007	4.87200114977869	1095	52.9710441660193	72.090070663982
36	WGN15	43.3714757600011	4.87200114977867	1095	33.8119625110197	52.9309890089824
37	WGN15	42.7530188100003	4.87200114977867	1095	33.193505561019	52.3125320589817
38	WGN15	42.4125109850016	4.87200114977879	1095	32.85299773602	51.9720242339832
