famID	emmean	SE	df	asymp.LCL	asymp.UCL	.group
WGN07	0.266283271637591	0.0390001980244607	Inf	0.189844288119718	0.342722255155464	 A   
WGN38	0.48464483545131	0.04290398545325	Inf	0.40055456916971	0.568735101732911	  B  
WGN55	0.539469192695024	0.0383491358241573	Inf	0.464306267641441	0.614632117748607	  BC 
WGN46	0.552736253169007	0.0391338030660935	Inf	0.476035408581381	0.629437097756634	  BC 
WGN26	0.552954803741604	0.0400199397733292	Inf	0.474517163122416	0.631392444360791	  BC 
WGN45	0.601865773646834	0.0407927125923308	Inf	0.521913526134172	0.681818021159496	  BC 
WGN36	0.607584816462757	0.0418115796194629	Inf	0.525635626271881	0.689534006653634	  BC 
WGN39	0.670794930875547	0.0384932002845853	Inf	0.595349644668072	0.746240217083021	   CD
WGN15	0.671946236559034	0.0377652515126761	Inf	0.597927703727092	0.745964769390976	   CD
WGN63	0.796638692193381	0.0394313947013967	Inf	0.719354578718461	0.873922805668302	    D
