famID	response	SE	df	lower.CL	upper.CL	.group
WGN63	85.4362581086927	0.32374969257686	1112	84.7953174811577	86.065707102967	 A       
WGN39	87.8749966027867	0.294718960291101	1112	87.2908156668661	88.4472910848672	  B      
WGN15	89.8929104782827	0.276555910619147	1112	89.3438454087401	90.4290472773367	   C     
WGN38	91.695332719963	0.282391099294945	1112	91.1328858759384	92.2409703465854	    D    
WGN26	92.4978900706326	0.25882852982606	1112	91.9821769366415	92.9978087345213	    D    
WGN45	94.5026724058302	0.233586215119794	1112	94.0353871901511	94.9519642614442	     E   
WGN36	95.1701735241013	0.201247648889677	1112	94.7676669967625	95.5573582148791	     E   
WGN55	96.0441731177464	0.175314266447181	1112	95.6930372067596	96.3809696040709	      F  
WGN46	96.9151629071431	0.159307426826778	1112	96.5949370203031	97.2200570491121	       G 
WGN07	97.9331868464646	0.128535006004988	1112	97.6734706369167	98.1778411902289	        H
