famID	response	SE	df	lower.CL	upper.CL	.group
WGN46	99.5449673528422	0.104497041467484	619	99.3167582969142	99.7271180763587	 A 
WGN55	99.5620504721985	0.114343686252143	619	99.3088915240678	99.7579021023114	 A 
WGN26	99.6811705691278	0.0972046984345692	619	99.4618374339243	99.8435463915152	 AB
WGN38	99.7139075286253	0.100425573352768	619	99.4828501468757	99.8771927674714	 AB
WGN39	99.7384526601783	0.0931766617307488	619	99.5235947582415	99.8894778400496	 AB
WGN45	99.8216169576858	0.0727691186667134	619	99.6501733998553	99.9359273139771	 AB
WGN36	99.8533447049126	0.0665505831384845	619	99.6936067103617	99.9549404754744	 AB
WGN15	99.8542484826166	0.0768049771244558	619	99.6644985921208	99.9660798191772	 AB
WGN63	99.8611263604018	0.068375319480003	619	99.6944708880494	99.9629641236164	 AB
WGN07	99.9312220184854	0.0458409080731976	619	99.811783008658	99.9917927265126	  B
