plantID3	famID	response	SE	df	lower.CL	upper.CL
1	WGN07	82.5708022182371	4.14536399719961	1114	73.7536184087301	89.8964766142413
2	WGN07	87.6084148543771	3.60036941751832	1114	79.7370455044771	93.7575882200791
3	WGN07	93.0332101351112	2.78192923908341	1114	86.6312154717643	97.4645920521143
4	WGN07	82.5708022183327	4.14536399719514	1114	73.7536184088307	89.8964766143242
5	WGN07	91.025116709309	3.12324279797671	1114	84.0045293144222	96.1670476513357
6	WGN07	87.6084148543805	3.60036941751751	1114	79.7370455044821	93.7575882200811
7	WGN07	87.6084148543804	3.60036941751755	1114	79.737045504482	93.7575882200811
8	WGN07	94.5107258321834	2.48890735262016	1114	88.6454436209533	98.3377356626517
9	WGN07	91.0251167093085	3.12324279797666	1114	84.0045293144219	96.1670476513352
10	WGN07	93.9786217196653	2.59940058093728	1114	87.9103816653554	98.0329559497223
11	WGN07	90.5058928967422	3.20314214830959	1114	83.3416220184377	95.8152840532285
12	WGN07	96.0609040895829	2.12560387250878	1114	90.8675157542001	99.1450329850571
13	WGN07	92.6975711163332	2.84301116736335	1114	86.1843288963723	97.2555704525866
14	WGN07	70.4988805276458	4.98334642266575	1114	60.3264667511714	79.7325924241831
15	WGN07	94.9999999999991	2.38153805143297	1114	89.3325736925421	98.6067486748314
16	WGN07	87.6084148543801	3.60036941751758	1114	79.7370455044816	93.7575882200809
17	WGN07	96.0609040895828	2.12560387250883	1114	90.8675157541999	99.1450329850571
18	WGN07	90.6003748701053	3.1888271886065	1114	83.4618133195204	95.8797301013344
20	WGN07	72.8267561993142	4.86101482902384	1114	62.8392339844497	81.7689765047274
21	WGN07	84.9999999999976	3.90180726014818	1114	76.6014250482575	91.7958256819186
22	WGN07	91.025116709308	3.12324279797671	1114	84.0045293144213	96.1670476513349
23	WGN07	85.1118198892825	5.50223096957287	1114	72.8782269517775	94.140556864719
24	WGN07	96.6630318022312	1.96253296422224	1114	91.7733719050897	99.4158591236989
25	WGN07	84.9999999999981	3.90180726014816	1114	76.601425048258	91.795825681919
26	WGN07	87.60841485438	3.60036941751762	1114	79.7370455044814	93.7575882200808
27	WGN07	87.6084148543806	3.60036941751746	1114	79.7370455044824	93.7575882200811
28	WGN07	89.9999999999987	3.27817379886085	1114	82.7012182955703	95.4670682532052
29	WGN07	90.5058928967413	3.2031421483097	1114	83.3416220184367	95.8152840532279
30	WGN07	93.5817059099117	2.67803350009015	1114	87.3694478223691	97.7982340738945
31	WGN07	80.2393401911603	4.35116062052199	1114	71.0748323593972	88.0191028683175
32	WGN07	89.9999999999991	3.27817379886082	1114	82.7012182955707	95.4670682532055
33	WGN07	89.9999999999993	3.27817379886081	1114	82.7012182955709	95.4670682532056
34	WGN07	87.6084148543798	3.60036941751759	1114	79.7370455044813	93.7575882200806
35	WGN07	77.5494935745733	4.55945857359729	1114	68.0409971103231	85.796420589951
36	WGN07	73.4596934287955	4.82489918678026	1114	63.5279999058836	82.3171010513308
37	WGN07	98.9685521623384	1.56169174580509	1114	93.7163016597269	100
38	WGN07	89.3315580778091	3.37336762946217	1114	81.8627296013726	94.9992829545295
39	WGN07	67.7296313616519	5.10860164992431	1114	57.3767392950784	77.2706333219668
40	WGN07	82.5708022183306	4.14536399719518	1114	73.7536184088287	89.8964766143224
41	WGN07	70.1204006516716	5.00173063577655	1114	59.9208568478651	79.3985742425369
42	WGN07	85.3553390593245	3.86336487180439	1114	77.0234792055195	92.0681776599425
44	WGN07	92.9999999999986	2.78805421387502	1114	86.5868398048742	97.4440682350594
46	WGN07	89.9999999999983	3.278173798861	1114	82.7012182955696	95.467068253205
47	WGN07	72.5353779278421	4.87722142385357	1114	62.5229714066438	81.5158255770703
48	WGN07	85.3553390593265	3.86336487180429	1114	77.0234792055215	92.0681776599443
49	WGN07	75.1691251538222	4.72091823339596	1114	65.4007528525171	83.7849318276337
50	WGN07	91.2933758163363	3.08074145663511	1114	84.3494005168204	96.3464103176235
51	WGN07	74.8640667423815	6.70513129541005	1114	60.7739689397286	86.6846794317066
52	WGN07	69.9999999999989	5.0074931915001	1114	59.7919926803086	79.2921505940782
53	WGN07	90.6003748701054	3.18882718860653	1114	83.4618133195204	95.8797301013345
54	WGN07	93.9786217196664	2.59940058093703	1114	87.910381665357	98.032955949723
55	WGN07	82.570802218331	4.1453639971951	1114	73.7536184088292	89.8964766143226
56	WGN07	98.7339717240445	1.2217032427187	1114	95.2393626384947	99.9969140211341
57	WGN07	75.1691251538218	4.72091823339615	1114	65.4007528525163	83.7849318276335
58	WGN07	70.1204006516723	5.00173063577651	1114	59.9208568478659	79.3985742425375
59	WGN07	84.9999999999992	3.90180726014818	1114	76.601425048259	91.79582568192
60	WGN07	93.5817059099122	2.67803350009004	1114	87.3694478223699	97.7982340738948
61	WGN07	81.026015628123	4.28452055887291	1114	71.9732504637798	88.6580115383696
63	WGN07	74.9999999999983	4.73163631305655	1114	65.2146309096482	83.6405481833347
64	WGN07	84.9999999999984	3.90180726014828	1114	76.601425048258	91.7958256819194
66	WGN07	87.2116375225949	3.64926506373198	1114	79.2541483474132	93.4651002729731
67	WGN07	77.9615198335538	4.52941056876125	1114	68.502095847785	86.1405065194293
68	WGN07	92.6975711163333	2.84301116736337	1114	86.1843288963724	97.2555704525867
69	WGN07	65.1495231775704	7.36517473206934	1114	50.2274698086072	78.6887932037383
71	WGN07	96.6630318022307	1.96253296422234	1114	91.7733719050891	99.4158591236987
73	WGN07	95.4763098818767	2.27093632099863	1114	90.0133301697674	98.8568003809216
74	WGN07	93.3135224943194	2.72949124755701	1114	87.0072115797163	97.6363843646061
75	WGN07	89.9999999999986	3.27817379886083	1114	82.7012182955703	95.4670682532051
76	WGN07	87.6084148543802	3.6003694175176	1114	79.7370455044817	93.757588220081
77	WGN07	87.6084148543805	3.60036941751756	1114	79.7370455044821	93.7575882200812
78	WGN07	82.5708022183276	4.14536399719559	1114	73.7536184088248	89.8964766143201
79	WGN07	62.5167030581208	5.28965862397329	1114	51.9306327425907	72.5295980397381
80	WGN07	98.1314235093984	1.47968819759911	1114	94.1482886826601	99.9104839394209
81	WGN07	94.5107258321832	2.48890735262017	1114	88.6454436209531	98.3377356626515
82	WGN07	89.9999999999991	3.2781737988608	1114	82.7012182955708	95.4670682532055
83	WGN07	83.1734976624644	4.08789872345384	1114	74.4544047939133	90.3734819837051
84	WGN07	92.6975711163338	2.84301116736333	1114	86.1843288963729	97.2555704525871
85	WGN07	84.4620515027235	3.95857038980744	1114	75.9652702800587	91.3807176430321
86	WGN07	93.3135224943207	2.72949124755682	1114	87.0072115797179	97.6363843646069
87	WGN07	87.6084148543807	3.60036941751752	1114	79.7370455044823	93.7575882200813
88	WGN07	92.6975711163333	2.84301116736339	1114	86.1843288963723	97.2555704525867
89	WGN07	75.1691251538217	4.72091823339608	1114	65.4007528525164	83.7849318276334
90	WGN07	69.9999999999981	5.00749319150003	1114	59.791992680308	79.2921505940773
91	WGN07	93.0332101351113	2.7819292390834	1114	86.6312154717644	97.4645920521144
92	WGN07	92.9197640807411	3.96461468510402	1114	83.3007468715953	98.6212497509789
93	WGN07	94.9999999999992	2.38153805143297	1114	89.3325736925422	98.6067486748314
94	WGN07	85.3553390593263	3.86336487180417	1114	77.0234792055216	92.0681776599438
95	WGN07	70.0937657538343	5.00300897394543	1114	59.8923427443547	79.3750382378889
96	WGN07	93.5817059099104	2.67803350009036	1114	87.3694478223675	97.7982340738936
97	WGN07	90.0938953909048	4.61766272664581	1114	79.3420544925508	97.1861378950071
98	WGN07	84.9999999999988	3.90180726014811	1114	76.6014250482589	91.7958256819196
99	WGN07	89.9999999999986	3.27817379886091	1114	82.70121829557	95.4670682532051
100	WGN07	79.9999999999984	4.37089839848106	1114	70.8025408173671	87.8236740942133
101	WGN07	92.6975711163335	2.84301116736334	1114	86.1843288963726	97.2555704525869
102	WGN07	91.0251167093086	3.12324279797669	1114	84.004529314422	96.1670476513354
103	WGN07	85.8584147024077	3.80759897718249	1114	77.6236178688353	92.4511530222327
104	WGN07	93.5089611968185	2.69212015192647	1114	87.2709406139003	97.754583042914
105	WGN07	84.9999999999986	3.9018072601482	1114	76.6014250482584	91.7958256819194
106	WGN07	91.0251167093071	3.12324279797704	1114	84.0045293144197	96.1670476513345
107	WGN07	67.5249921620576	5.11702599941293	1114	57.1603825678435	77.0870826593767
108	WGN07	82.5708022183302	4.14536399719527	1114	73.7536184088281	89.8964766143221
109	WGN07	94.9314223170638	3.39055753939507	1114	86.3297649306525	99.4319326495452
110	WGN07	82.570802218331	4.14536399719518	1114	73.7536184088291	89.8964766143227
112	WGN07	88.7381563638152	3.45438442948788	1114	81.1251670283748	94.5772156470772
113	WGN07	96.0609040895827	2.12560387250877	1114	90.8675157542	99.145032985057
114	WGN07	89.9499834699199	3.28544841030861	1114	82.638182584961	95.4323613024299
115	WGN07	79.9999999999983	4.37089839848103	1114	70.802540817367	87.8236740942131
116	WGN07	93.0332101351119	2.78192923908324	1114	86.6312154717653	97.4645920521147
117	WGN07	84.9999999999986	3.90180726014816	1114	76.6014250482585	91.7958256819194
118	WGN07	94.9999999999996	2.38153805143294	1114	89.3325736925426	98.6067486748317
119	WGN07	92.697571116333	2.84301116736337	1114	86.1843288963721	97.2555704525865
120	WGN07	73.4596934287968	4.82489918678025	1114	63.5279999058848	82.317101051332
121	WGN07	79.9999999999981	4.3708983984811	1114	70.8025408173666	87.823674094213
122	WGN07	95.0681350153815	3.34692629137559	1114	86.5445407042107	99.4781037252938
123	WGN07	89.9999999999987	3.27817379886083	1114	82.7012182955703	95.4670682532051
124	WGN07	95.047878605368	2.37070532580091	1114	89.4004484255457	98.6324386554283
125	WGN07	89.9999999999989	3.27817379886089	1114	82.7012182955703	95.4670682532054
126	WGN07	88.7381563638154	3.45438442948785	1114	81.1251670283749	94.5772156470772
127	WGN07	95.0000000000008	2.38153805143263	1114	89.3325736925443	98.6067486748323
