"trait","lg","map","avg_peak","famID","r2_stp_2017","mu_stp_2017","alpha_stp_2017","gamma_stp_2017","r2_stp_2018","mu_stp_2018","alpha_stp_2018","gamma_stp_2018","r2_tli_2017","mu_tli_2017","alpha_tli_2017","gamma_tli_2017","r2_tli_2018","mu_tli_2018","alpha_tli_2018","gamma_tli_2018"
"floret_score_mean",2,"CP",77.171,"WGN39",NA,NA,NA,NA,12.5,2.53728,0.51591,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",2,"CP",77.171,"WGN38",NA,NA,NA,NA,NA,NA,NA,NA,14.6,1.1424585,0.3754015,NA,NA,NA,NA,NA
"floret_score_mean",2,"DP",84.7533333333333,"WGN26",8.7,1.255032,NA,0.327228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",2,"DP",84.7533333333333,"WGN38",NA,NA,NA,NA,10.6,0.7145055,NA,-0.2350625,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",4,"DP",196.044,"WGN15",14.5,0.6699785,NA,0.3555915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",4,"DP",196.044,"WGN55",11.9,1.51931,NA,0.48531,28.2,1.2483205,NA,0.4238295,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",5,"CP",135.624666666667,"WGN26",15.4,1.2054345,-0.4118555,NA,9.2,1.123075,0.327615,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",5,"CP",135.624666666667,"WGN55",16.5,1.4603465,-0.5334235,NA,13.8,1.2447695,-0.3292105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",5,"CP",135.624666666667,"WGN38",NA,NA,NA,NA,16.2,0.6692355,0.2946345,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",5,"CP",135.624666666667,"WGN45",NA,NA,NA,NA,NA,NA,NA,NA,15.3,1.1459675,-0.3141425,NA,NA,NA,NA,NA
"floret_score_mean",5,"DP",137.0625,"WGN15",29.6,0.5184725,NA,-1.1275675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",5,"DP",137.0625,"WGN63",12,1.954865,NA,-0.569665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",5,"DP",137.0625,"WGN07",NA,NA,NA,NA,41,0.720035,NA,1.783005,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",8,"CP",108.728,"WGN45",NA,NA,NA,NA,8.9,1.1225075,0.3048625,NA,10.5,1.1513565,0.2593135,NA,NA,NA,NA,NA
"floret_score_mean",9,"CP",131.89,"WGN26",NA,NA,NA,NA,11.5,1.1541995,0.3530105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN26",15.1,1.2096545,-0.4108255,NA,11.1,1.1532955,-0.3582245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN39",14.8,3.04765,-0.65546,NA,15.4,2.44435,-0.55315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN45",23.7,1.1203685,-0.4903315,NA,27.2,1.0857685,-0.4814115,NA,15.8,1.126539,-0.316261,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN46",12.9,1.169711,-0.463839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN55",15.2,1.49465,-0.48676,NA,12.4,1.2113055,-0.3132645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN07",NA,NA,NA,NA,15.4,0.8706705,-0.3913395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN15",NA,NA,NA,NA,14.9,0.657316,-0.305417,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN38",NA,NA,NA,NA,19.8,0.6753315,0.3190415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"floret_score_mean",11,"CP",109.193,"WGN36",NA,NA,NA,NA,NA,NA,NA,NA,15.4,1.1100495,-0.3630405,NA,NA,NA,NA,NA
"rachis_breaks_mean",5,"DP",83.068,"WGN07",33.6,0.516476,NA,0.264239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rachis_breaks_mean",6,"CP",163.143,"WGN07",33.6,0.5164785,-0.2642475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rachis_breaks_mean",8,"CP",72.149,"WGN36",NA,NA,NA,NA,NA,NA,NA,NA,14.1,0.5805935,0.2288055,NA,NA,NA,NA,NA
"rachis_breaks_mean",8,"DP",82.017,"WGN45",NA,NA,NA,NA,23.3,0.6212495,NA,0.3308725,NA,NA,NA,NA,NA,NA,NA,NA
"rachis_breaks_mean",19,"DP",32.573,"WGN07",33.6,0.516485,NA,0.264526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"threshability",3,"DP",64.545,"WGN45",NA,NA,NA,NA,16.4,1.264425,NA,0.051535,34.5,1.097195,NA,0.087695,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN15",20,1.238255,-0.099015,NA,19.2,1.17212,-0.10558,NA,25.6,0.972941,-0.127169,NA,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN26",28,1.293875,-0.106585,NA,36.6,1.216645,-0.137435,NA,60.8,1.085063,-0.146977,NA,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN36",16.6,1.34477,0.05594,NA,15.3,1.254335,0.067785,NA,24.5,1.137265,0.074875,NA,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN38",36.3,1.286845,0.120545,NA,48.4,1.155176,0.190664,NA,58.9,1.0409525,0.1863975,NA,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN63",34,1.158905,-0.101045,NA,25.5,1.0650815,-0.1077785,NA,23.9,1.019616,-0.066134,NA,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN39",NA,NA,NA,NA,14.2,1.0714265,0.0827135,NA,13.6,1.0144165,0.0555835,NA,NA,NA,NA,NA
"threshability",5,"CP",65.6753333333333,"WGN45",NA,NA,NA,NA,NA,NA,NA,NA,23,1.10554,-0.07134,NA,NA,NA,NA,NA
"threshability",5,"DP",62.79,"WGN15",21.2,1.240055,NA,0.102785,21.5,1.173625,NA,0.111245,15.3,0.9749145,NA,0.0977955,NA,NA,NA,NA
"threshability",11,"CP",49.0815,"WGN45",NA,NA,NA,NA,14.1,1.25986,0.0490200000000001,NA,NA,NA,NA,NA,8.9,1.51933,0.04228,NA
"threshability",11,"CP",49.0815,"WGN55",NA,NA,NA,NA,NA,NA,NA,NA,16.9,1.160085,0.0470349999999999,NA,NA,NA,NA,NA
