lg	map	group	left	center	right	locus	max_lod	famID	r2	mu	alpha	gamma	trait	env	year
3	DP	3_DP	46.279	94.551	94.551	NA	3.5	WGN45	34.5	1.097195	NA	0.087695	threshability	tli	2017
5	CP	5_CP	78.323	80.583	82.213	CP_Chr05_184445451	60.18	combined	NA	NA	NA	NA	threshability	tli	2017
5	CP	5_CP	75.925	80.421	83.767	CP_Chr05_219902957	7.5	WGN15	25.6	0.972941	-0.127169	NA	threshability	tli	2017
5	DP	5_DP	66.292	78.435	101.384	NA	5.53	WGN15	15.3	0.9749145	NA	0.0977955	threshability	tli	2017
5	CP	5_CP	64.809	75.925	87.515	CP_Chr05_247578147	16.83	WGN26	60.8	1.085063	-0.146977	NA	threshability	tli	2017
5	CP	5_CP	55.781	75.925	139.248	CP_Chr05_247578147	5.45	WGN36	24.5	1.137265	0.074875	NA	threshability	tli	2017
5	CP	5_CP	74.461	85.703	89.515	NA	16.84	WGN38	58.9	1.0409525	0.1863975	NA	threshability	tli	2017
5	CP	5_CP	74.461	81.879	95.671	CP_Chr05_86058515	3.86	WGN39	13.6	1.0144165	0.0555835	NA	threshability	tli	2017
5	CP	5_CP	74.461	86.703	89.515	NA	5.6	WGN45	23	1.10554	-0.07134	NA	threshability	tli	2017
5	CP	5_CP	71.343	77.796	83.363	CP_Chr05_210699121	6.53	WGN63	23.9	1.019616	-0.066134	NA	threshability	tli	2017
11	CP	11_CP	43.995	51.345	55.721	NA	12.06	combined	NA	NA	NA	NA	threshability	tli	2017
11	CP	11_CP	65.214	96.595	96.595	NA	4.53	WGN55	16.9	1.160085	0.0470349999999999	NA	threshability	tli	2017
14	DP	14_DP	112.407	127.623	150.146	DP_Chr14_136180807	3.83	WGN63	11.3	1.025253	NA	-0.0443770000000001	threshability	tli	2017
19	CP	19_CP	74.72	100.937	105.743	CP_Chr19_157334685	4.82	WGN15	12.8	0.962047	-0.0915629999999999	NA	threshability	tli	2017
20	DP	20_DP	112.294	140.081	166.827	DP_Chr20_204585011	4.3	WGN15	23.9	0.973443	NA	-0.122367	threshability	tli	2017
20	DP	20_DP	20.117	31.11	44.364	DP_Chr20_590832266	3.51	WGN45	11.6	1.102555	NA	0.050875	threshability	tli	2017
